season,quantile,tas,tp,wind
winter,0.05,-3.4796135012370515,1.2638319447749609,2.3904286985543712
winter,0.33,-1.2439040795356244,2.0110049158436434,2.720712310692638
winter,0.67,0.5010652587968506,2.641713870824904,2.9799377145632895
winter,0.95,2.7096347694132854,3.7408988025923993,3.336737613854785
spring,0.05,-0.9779872239507179,0.818208392514596,2.115602390098946
spring,0.33,1.2081206698289404,1.389805316451794,2.4377444991356745
spring,0.67,2.770397743878404,1.9456870699053335,2.711722519795873
spring,0.95,4.7058523569944875,2.7988637638549805,3.152043563589044
early_summer,0.05,13.07784641781245,1.4628486443281503,2.043116551356583
early_summer,0.33,14.259779409793682,2.276339642787649,2.2636450200721803
early_summer,0.67,15.14633141843404,2.8857113062979836,2.4276302646346646
early_summer,0.95,16.551143044283638,3.9449121345161515,2.657443916608323
late_summer,0.05,10.526702735632844,1.5636257184056257,2.2905719214973974
late_summer,0.33,11.564460723291646,2.3785598548494096,2.5371956006362986
late_summer,0.67,12.400899495561085,3.1977028067333384,2.7136519706570263
late_summer,0.95,13.523762441745921,4.360930194775964,2.9871145117193763
