dates,tcc,uas,vas,tas,tdps,rsds,rlds,tp
1993-07-01,0.639511562212952,0.0340657188566521,3.07922213396633,18.7990059564422,10.522008522834,299.888312001623,329.197216206053,0
1993-07-02,0.673058194396889,0.831182507003302,2.53269348881871,19.2558160905011,10.3546267657218,320.747540212421,314.831946056237,0
1993-07-03,0.299421629009086,2.35088616429524,1.09039504223982,19.6443622904594,5.75884949238555,274.858875109095,318.860752382115,0
1993-07-04,0.217396504832773,2.94310589450939,2.09940206908526,18.95665474102,7.05376312504577,289.035025202766,300.236492215899,0
1993-07-05,0.371401256636151,3.83643725803464,0.0672071332020377,16.7601924630675,2.81852072807931,305.412920088393,294.467407381287,0
1993-07-06,0.41667601414436,1.00451918728511,-1.74372336240517,14.4780627376587,1.90732168858921,313.547318041862,290.175978553146,0
1993-07-07,0.328311108902551,0.861442644344037,-0.144059501454038,17.0737802007086,3.82448093897976,121.566681905471,349.904636394421,9.46147547978159
1993-07-08,0.962297012021243,0.314824348324163,4.4251267402291,14.3866062486856,10.4614937058108,94.2757465640919,369.508607618201,15.6266553061843
1993-07-09,0.977119192603913,-1.37238034445951,3.06395595034615,14.5875368048726,12.6753148831424,123.673148107388,364.983200414101,11.7151756876704
1993-07-10,0.863435015089392,-2.01621121457286,1.89974418179804,15.5947684714215,12.5259846434184,235.440678405915,325.109025218857,1.38006521751017
1993-07-11,0.44741908072786,-0.156878801938201,3.15074895231893,14.0917587429733,9.60024946137904,152.940670241922,347.174248428543,12.591353331447
1993-07-12,0.905291689203419,-0.592438624406516,1.00419629123146,14.5669205700638,11.6991946517481,198.451329026017,331.91678412829,1.62329903965023
1993-07-13,0.779554043989185,1.35742459246394,2.91924197207035,14.2770647415149,10.6356208912984,220.229216639428,330.817664640436,0
1993-07-14,0.740809230377402,0.702037090967175,2.45807137820404,14.9520013149885,10.7873162771817,241.002679012248,321.472393203151,0
1993-07-15,0.493162715975054,0.503746012144877,2.92395826951768,15.0978976700173,10.2648918058348,215.954731031724,331.182051223597,3.78087136386699
1993-07-16,0.904096973511104,-0.60335477828769,0.846860280976774,15.4971177860296,11.8276717207266,167.076076162203,345.227814686323,3.54220315119866
1993-07-17,0.973093889844785,-0.487049865910974,0.217008371282275,16.0530371759162,13.4915043545987,232.635822691023,339.46283991814,3.06272562430433
1993-07-18,0.646614173200009,0.446037149995344,1.03792297824512,17.4924842709491,14.2654608072259,139.836623165169,353.010227575461,10.2777744747615
1993-07-19,0.865792911111937,-0.524590451261155,-2.20530931509241,15.778120929571,13.4175746746557,129.259387243392,358.520975266901,4.844861750615
1993-07-20,0.781542869711401,-2.234039165743,-3.12609237842768,15.9077747894186,12.2431537822985,228.976378544072,341.550176423208,2.04015144661176
1993-07-21,0.501763234125484,-2.87767161930016,-2.90872977516086,18.0726557547465,12.3749954669396,182.426509061965,360.232446758013,5.63694126081666
1993-07-22,0.807439344558052,-2.234039165743,-3.27806539373917,17.5715182497762,13.4964591353437,94.9195029500133,365.896730438959,8.81934790391657
1993-07-23,0.930470069296975,-1.53159098017628,-3.13589078621231,15.9480553937913,13.2573526896364,194.113573803626,356.659092155703,0
1993-07-24,0.91609330372515,-1.90657355968795,-1.66307644897348,19.1310448813172,12.2431537822985,185.888313100624,346.305520308377,0
1993-07-25,0.660134275665392,0.719212685911617,0.47533873276918,18.8464631076765,12.9365945021572,228.635584746703,333.552516607873,0
1993-07-26,0.894616639004301,2.01438113312867,-0.16649185705061,18.8496694557865,11.9087396255333,284.266552865576,331.933658625262,0
1993-07-27,0.205062308821709,0.816603680550531,2.16115652462785,20.3628903473509,14.1507963174601,252.336076436154,330.803941505546,0
1993-07-28,0.150087139222758,3.03631249804398,1.51530220367321,20.2464494262007,12.0929289276441,292.116456437555,299.287355031334,0
1993-07-29,0.409110605414062,-0.234054534642516,0.777630514559117,17.8364891013255,9.84851984910734,98.9871525553814,361.799199356137,11.3134818823425
1993-07-30,0.792634318256751,0.157775102750485,3.00069366647279,17.0271648157166,14.5038950018347,185.408948693107,352.136027021551,0
1993-07-31,0.707725984250712,1.69592925523467,3.97556026385146,16.9081167581363,13.0627530081054,171.183843814188,350.255320928192,1.53672118472703
1993-08-01,0.650544995353247,1.30570270729743,3.39837540274971,16.3132190381825,12.8558195458205,101.743068006455,349.219170822194,10.1747985708022
1993-08-02,0.809747149852508,0.995750488226535,1.60625626113088,14.379308246886,11.6757187128599,264.062093008482,323.897490875941,0
1993-08-03,0.361551438326279,1.22816077757114,-1.11293814255492,17.7479199118747,10.131344671297,144.346561859074,336.459612422944,0
1993-08-04,0.747965413353609,0.264068779255004,-1.33873490274382,15.2690790018021,9.68394203128467,161.135741568975,330.902201332708,1.43917168650837
1993-08-05,0.548701185609275,0.417062761242056,-1.16397629496503,14.0191113464144,8.89029950302066,229.40209825926,305.574072213927,0
1993-08-06,0.610203244043252,0.1431987385435,-1.22629195060648,14.3048667284264,8.28125771623257,190.616332403077,318.346080870431,0
1993-08-07,0.877614173142787,0.26936567425286,-1.97738776406065,14.2354967513548,5.74197215752371,185.755186445786,314.213280764007,0
1993-08-08,0.817941893026517,-0.351754965661184,-1.27730346514769,13.474690911755,5.42999376596368,185.140895376137,315.888016819534,0
1993-08-09,0.723520435505814,-0.837703108438016,1.99503369122703,14.1215142122231,8.98043019944136,53.8195113515585,347.114673277504,18.4386293153226
1993-08-10,0.883305487929881,-2.33249806748986,2.83548229308072,13.0405391287548,11.3088132905589,145.667241482885,355.259512576508,14.9416509049037
