dates,tcc,uas,vas,tas,tdps,rsds,rlds,tp
1993-08-01,0.161200679294872,2.78024320359767,2.87622094020991,15.3745697714822,9.58472676593172,222.84405067177,316.344650798232,0
1993-08-02,0.847962174413432,0.654374658143911,2.69502726858058,15.3207246156191,10.5140406937688,92.4887045533362,354.475836891783,13.3903528231768
1993-08-03,0.808581583649819,-1.28031500763014,2.18777938812775,14.21649919501,12.6571583994674,159.357981037792,351.85668152118,1.07144223920077
1993-08-04,0.963322017941544,1.07910392728297,3.38672882467732,14.8273780237329,12.1713440492051,230.096234912876,327.543141829919,0
1993-08-05,0.311655139081453,1.56700290815873,1.71106297523262,15.5952845685125,11.3090295195527,229.596586094106,317.570944735332,0
1993-08-06,0.584464566596472,0.643471000371611,0.0892946517226982,16.1579832452337,11.2959566326048,216.788349115983,341.623318581139,2.30343742460198
1993-08-07,0.785337284458089,0.443189173839432,3.02754610930649,16.1750736488201,12.1606093982847,90.263894587047,365.87544174746,2.60829277606669
1993-08-08,0.883226937138423,-1.44760597577693,0.966435945456849,15.8681425933556,13.2182587009928,68.3646364182826,366.517025190341,15.1225157344467
1993-08-09,0.938342463904998,-2.86266170215311,-1.19942622725514,15.7465153896547,14.1792504020685,65.1304345879998,374.285410716418,10.435536814037
1993-08-10,0.9954797334627,-2.07020023573185,-1.86067944754144,15.7421624028893,14.5669483780139,102.64181630345,364.450623132587,3.11068542882573
1993-08-11,0.989024315114697,-1.66465582515992,-2.29456416868306,16.3845189337966,13.1326717014019,70.7912250406855,353.806374355534,0
1993-08-12,0.830308759479498,-1.51043266387539,-0.733487332548506,14.5659023938261,11.2795881017835,127.61375426258,345.803760929243,0
1993-08-13,0.997491941071521,-1.77127749435017,-0.644912119148882,14.7041433149725,9.82307067487364,87.3618125236774,353.773217373297,5.18002502385166
1993-08-14,0.876334413579599,-1.21241748309509,1.24928982204623,14.3020705688578,12.0741028114621,160.325294521716,346.38236939021,1.90066761434723
1993-08-15,0.733437780316914,-0.175130435028436,2.19673863125452,15.0218172053165,12.1497124746963,191.966355096469,324.930783149762,0
1993-08-16,0.615244067414737,-0.10939902994295,1.32493934332531,14.867445109809,10.902108477305,73.2378510761944,346.305520308377,19.1648491256152
1993-08-17,0.996831941524859,-1.8532754228357,-1.8687139386418,14.3118467789616,12.9468218642459,113.42227767908,346.026075658218,6.78148431223101
1993-08-18,0.817941893026517,-2.18832996227519,-1.89518633209443,14.2148051984121,10.7947456815944,135.265203297473,323.74025585261,0
1993-08-19,0.857629708923408,-0.386614256096712,-2.43339389772499,13.3424992116386,7.65300571782321,170.106387931363,322.976821692803,0
1993-08-20,0.679642407610214,0.651719788726287,-0.650205577699023,14.446516044476,9.19926523666511,187.54498144446,321.751268469296,0
1993-08-21,0.496428998954975,-0.651059202318573,-0.820951147837202,14.5875368048726,9.13799038662135,192.22996031845,316.392020155364,1.8477069072909
1993-08-22,0.53119181410979,-0.951659033215306,0.647656021353908,14.5091815908306,10.7237935949748,157.991675214459,316.545955875949,0
1993-08-23,0.81423599399011,-2.79569580542245,-0.143422804562521,12.5834329253714,6.5035560671613,54.7152950909778,346.026075658218,0
1993-08-24,0.972422689803561,-2.33249806748986,-2.5072219343276,12.731129242353,8.50270605226408,34.9791033603161,354.91749842125,5.15196514166652
1993-08-25,0.999454290572298,-2.99504488809438,-2.11074555180725,11.7600555756229,9.73471260638777,24.434891382427,360.773736797779,5.99409896101687
1993-08-26,0.999972883886824,-2.78238506625505,-1.3534105837938,11.4941106626856,10.4454663708954,70.9815537917966,346.582151798601,1.20387425273851
1993-08-27,0.999842807991465,-2.1755571350904,-1.84250867056939,11.7951336915214,8.5339018896429,82.5803414486894,343.122494696223,0
1993-08-28,0.921109377840691,-1.89986206359258,-2.25581164933809,11.7951336915214,7.8878392189537,72.9814565939075,351.215302632428,1.20387425273851
1993-08-29,0.983743508732568,-2.35424858751154,-0.293827080649085,12.5147589597757,9.36711451270094,56.1091056905152,351.117277127186,3.62258205148771
1993-08-30,0.936119858989205,-3.04093871794636,-0.65722173841128,12.3478566067964,10.3817485464542,138.872765651028,323.645245787257,0
1993-08-31,0.580298997478921,-1.36157369566406,0.106980812397614,13.3486180625604,9.74962175688767,121.228602872036,328.460067041893,0
1993-09-01,0.942544211053488,-1.30852537402187,0.59834818752623,13.8080295756562,9.82028371955961,128.466222467039,317.709693699839,0
1993-09-02,0.984195642021767,-2.45473083716338,-1.61648401003644,12.5197396877821,7.39776936691819,170.261905099846,299.258223077072,0
1993-09-03,0.911682263169461,-2.36546918242986,-1.44585071655972,11.1143005123707,5.84169261738756,135.265203297473,317.318225412849,0
1993-09-04,0.999972883886824,-2.13272337934487,0.913680838221576,11.2166020536533,5.617847712067,87.3113634957694,328.630169303323,0
1993-09-05,0.950999758179975,-0.758473344444805,-0.116084041776665,10.9977324649994,7.36244122579631,124.222014400888,318.98504394326,1.07410469026853
1993-09-06,0.651149425329944,-1.80551476484071,-0.840582959716139,11.4992056996715,7.40450459625921,82.7585472769186,324.62505716567,2.13653059837795
1993-09-07,0.951263382807344,-4.35357562115668,0.00358053989373858,10.0450202313054,5.98399788468788,66.6804458742574,328.446863254197,3.83702871171027
1993-09-08,0.989872575108312,-4.73884215506861,-1.25970746195286,8.78929562934992,4.6501870899999,114.755222165103,311.113492672998,0
1993-09-09,0.823737438281817,-3.40810484462261,-2.72575299377086,7.61500506060691,0.968393890245559,104.879099595145,298.268116616389,0
