dates,psl,tcc,uas,vas,tas,tdps,rsds,rlds,tp
2017-05-01,102350.32590875,0.537608265075683,1.27668249511719,3.08263334350586,5.97083342041017,0.846832497558612,233.892265877301,277.928248954407,0.461999511718749
2017-05-02,101604.6747825,0.496090411529541,0.909426596679685,-0.475167580566409,9.09005943115237,2.9269353051758,190.151702192503,297.672539485896,5.44849761962891
2017-05-03,102020.986455625,0.747440154266358,-1.67128360229492,-3.6609883215332,8.36451829345705,0.155405063476581,229.892401922291,289.91270221736,5.18323699951173
2017-05-04,102460.818138125,0.568272189331055,-2.16852002807617,-2.04095633544922,9.05594378417971,1.26221669921877,266.641482912535,266.984754613926,0.48196990966797
2017-05-05,102299.097885,0.732438852539062,-1.62997854248047,-2.23065224853516,7.6694062792969,-1.12574100830076,239.628313635989,267.87588532247,0.467828674316408
2017-05-06,102109.651219375,0.285968473739624,0.525806214599608,1.51305033569336,7.81189070312502,2.21493414306642,258.405577070834,274.327969806891,0.975975036621096
2017-05-07,101924.31406375,0.406323906478882,0.277448271484373,1.36287016723633,8.50254935791018,2.79759106201174,184.094101480335,289.743547432458,1.9265966796875
2017-05-08,101103.906875,0.536637545166016,0.55874081787109,2.22679642944336,6.53151570800783,3.39406041503908,238.288451826139,275.878480905555,0.949714050292966
2017-05-09,101003.79293625,0.664995538864136,0.370497800292968,1.29210799194336,7.03276728759768,1.4897916333008,230.69386368462,292.820168097635,0.972802124023437
2017-05-10,100891.291595,0.701619728927612,-2.22423400024414,1.22754688476562,9.74244305419924,2.0864443676758,151.802269054471,328.375904796826,0.0237762451171876
2017-05-11,101040.08612625,0.954999245452881,-4.08158291503906,0.218801556396483,10.7503212426758,6.29698685791018,81.5285871241495,332.763880970776,0.211137084960938
2017-05-12,101317.695786875,0.974976769180298,-2.48959127929688,0.812175454101563,9.21115573974611,7.25287410644533,70.9276194779135,339.670722272901,0.573464965820313
2017-05-13,101939.1519825,0.97279366394043,-2.51701986938476,-0.628965649414063,9.0308089379883,6.98900714843752,83.4030981087657,343.822525967021,0.407419433593749
2017-05-14,101597.635513125,0.963308266677857,-3.80636528198242,0.630099752197265,9.7590231176758,7.71887771972658,30.6256826123485,344.301516968786,0.00694702148437505
2017-05-15,100145.13715,1,-3.41079702148438,0.74553141845703,7.89256572753908,7.43757251464846,155.545507322036,318.825614825196,0.0685205078125001
2017-05-16,99961.88138375,0.895220034713745,-0.89559266601563,-0.431781909179691,7.69231013183596,5.80407787597659,212.646746126097,308.322831677732,2.18457641601563
2017-05-17,99956.1759575,0.901864961166382,-0.826579755859374,-1.89584968261719,9.08903879638674,5.08703044677736,201.245371057901,302.128725176577,4.46531616210938
2017-05-18,99722.9556275,0.83041957824707,0.418544444580076,-1.15334486694336,7.75216536132814,4.95523681640627,238.899453448103,283.537426713309,1.39227661132813
2017-05-19,99837.74685,0.60625630142212,0.557600330810546,1.29847184814453,8.19022927978518,4.56158256103518,180.047713808368,310.400119242823,11.0951348876953
2017-05-20,100478.175156875,0.579980146331787,0.411393640136718,1.44371129219055,8.52131721191408,5.95218550537112,212.55097561166,303.309477353545,5.96362792968751
2017-05-21,101370.614755,0.557396909561157,0.314734361572265,0.662797961425779,9.04014765625002,5.01321938964845,248.935571515389,288.350404219141,11.1206335449219
2017-05-22,101677.9919475,0.540392111053467,0.0120258288574223,1.25580285354614,8.8270374926758,5.30536679687502,258.483423798988,287.551646574377,0.2215185546875
2017-05-23,101773.50133375,0.384175124282837,0.585365417480467,1.54606483398437,9.20157032470705,4.94211101806643,274.397880063764,280.604833019657,0.540139770507811
2017-05-24,101978.0587075,0.485466266021729,1.04606856445312,3.55067480102539,9.5338854223633,4.81730377441408,197.016389079836,309.88465204649,0.0867974853515622
2017-05-25,101500.343348125,0.735081434783936,-1.67540222045898,0.14264792114258,11.3677057666016,5.05708972412111,83.7302394454637,332.14823508378,8.98101745605468
2017-05-26,100821.539173125,0.771190959777833,0.214896650390624,0.179721893310546,8.68947353759767,6.74267081787111,182.544668662772,326.970715602564,2.97399841308594
2017-05-27,100890.118450625,0.721444519882202,-0.722238123779299,4.10636019165039,10.9090590283203,8.66226747314455,233.162969541421,311.003731000722,2.95596557617187
2017-05-28,101525.012490625,0.478224913787842,1.24333846069336,4.67889978759766,10.751882944336,7.38206943359377,149.706835836508,330.56305898991,16.3745166015625
2017-05-29,101953.418192813,0.882812887649536,-1.09485127685547,4.35051041992187,12.6836883398438,8.30562047607424,180.362661964172,329.69724074653,10.2418029785156
2017-05-30,102004.34388625,0.523213034973145,1.13276685180664,3.43948683227539,12.5443328393555,9.14497374755861,281.041350791928,298.911196946185,8.86695251464845
2017-05-31,102283.493285937,0.296864272155762,2.56249403686523,3.64859965942382,13.0945582153321,8.88681715332033,248.422653888528,321.726055878314,3.5817431640625
2017-06-01,102485.414048125,0.62671873336792,1.61507504638672,1.73774685302734,14.3551831225586,10.4133837060547,319.521220624787,306.063302517531,1.69685668945312
2017-06-02,102756.7399425,0.0268670690917968,-0.767710017089843,-0.0190842102050781,15.9659225,10.9136898120117,230.248693115394,336.399359157754,1.59383300781249
2017-06-03,102903.550680625,0.251677649993897,-0.883565493164061,1.28763713745117,17.0124868823242,12.4543167578125,330.557767376958,306.330058216226,4.61563842773438
2017-06-04,102569.201304375,0.00521496902465822,-0.516356522216797,1.18709555908203,17.4216035668946,10.149543515625,334.628878951334,305.953150497046,0.5390625
2017-06-05,102002.065154375,0.000560933990478514,-0.275859705810547,0.49802100708008,17.8217161767578,10.9792344213867,329.035011646302,325.737774525448,1.11596130371093
