year,colour_summer,colour_winter,rain_prevSummer,chla,chla_prevSummer,colour_prevSummer,cyano,rain,TP,TP_prevSummer,wind_speed
1981,26.666666666666668,,579.5702680559999,8.33125,16.080129870272728,26.666666666666668,,494.7301565279999,28.833333335,43.57301587333334,3.4885869565217407
1982,26.666666666666668,,494.7301565279999,5.974999999999999,8.33125,26.666666666666668,,458.4747891999999,26.988095237142858,28.833333335,3.818478260869565
1983,17.625,34.0,458.4747891999999,6.05,5.974999999999999,26.666666666666668,,466.63105234799997,29.781250000000004,26.988095237142858,4.247282608695653
1984,26.014880952142857,28.0,466.63105234799997,11.61111111111111,6.05,17.625,,561.4720653099998,27.158333333333335,29.781250000000004,3.796739130434784
1985,34.404761904285714,30.47450980392157,561.4720653099998,11.895238094714287,11.61111111111111,26.014880952142857,,548.3746134810001,30.957142858571427,27.158333333333335,3.6440217391304377
1986,27.472222223333333,32.94901960784314,548.3746134810001,12.677777776666666,11.895238094714287,34.404761904285714,,429.2712837579999,33.78888889,30.957142858571427,4.122282608695657
1987,29.02777777833333,35.42352941176471,429.2712837579999,8.511111111166667,12.677777776666666,27.472222223333333,,708.3290053490002,23.433333333333334,33.78888889,3.451630434782609
1988,32.27777777666667,37.89803921568628,708.3290053490002,14.055555556666668,8.511111111166667,29.02777777833333,,649.2830377570002,29.533333333333335,23.433333333333334,3.4869565217391325
1989,23.857142857142858,40.37254901960785,649.2830377570002,14.271428571428572,14.055555556666668,32.27777777666667,,390.368071209,27.057142857142853,29.533333333333335,3.772826086956523
1990,19.857142857142858,,390.368071209,12.242857142857142,14.271428571428572,23.857142857142858,,403.2231523200001,28.900000000000006,27.057142857142853,3.679891304347827
1991,20.625,,403.2231523200001,9.425,12.242857142857142,19.857142857142858,,399.36212001900003,27.225,28.900000000000006,3.6869565217391322
1992,21.285714285714285,,399.36212001900003,16.757142857142856,9.425,20.625,,385.74002780000006,31.342857142857145,27.225,3.7201086956521765
1993,24.428571428571427,,385.74002780000006,12.614285714285716,16.757142857142856,21.285714285714285,,493.4495718220001,27.3,31.342857142857145,3.4353260869565254
1994,27.714285714285715,,493.4495718220001,18.257142857142856,12.614285714285716,24.428571428571427,,373.293969654,30.442857142857147,27.3,3.6423913043478238
1995,25.833333333333332,,373.293969654,21.883333333333336,18.257142857142856,27.714285714285715,,427.3085932229999,29.45,30.442857142857147,3.6114130434782603
1996,17.666666666666668,,427.3085932229999,21.3,21.883333333333336,25.833333333333332,4.8,449.609512642,31.283333333333335,29.45,3.5440217391304363
1997,19.0,,449.609512642,23.066666666666666,21.3,17.666666666666668,2.82,420.42937626300005,29.416666666666668,31.283333333333335,3.2369565217391307
1998,34.71153846153846,,420.42937626300005,21.099999999999998,23.066666666666666,19.0,2.28,519.2802700179999,32.36666666666667,29.416666666666668,3.504347826086956
1999,50.42307692307692,65.11764705882354,519.2802700179999,21.633333333333333,21.099999999999998,34.71153846153846,5.96,630.476421443,32.516666666666666,32.36666666666667,3.5331521739130474
2000,42.56,63.80769230769231,630.476421443,22.166666666666668,21.633333333333333,50.42307692307692,4.67,617.6580098779999,32.666666666666664,32.516666666666666,3.5771739130434783
2001,68.70370370370371,87.04,617.6580098779999,21.03333333333333,22.166666666666668,42.56,0.58,511.777686395,38.333333333333336,32.666666666666664,3.634239130434782
2002,54.57692307692308,67.26923076923077,511.777686395,25.5,21.03333333333333,68.70370370370371,0.982,549.788892476,36.666666666666664,38.333333333333336,3.2624999999999984
2003,42.875,50.083333333333336,549.788892476,16.821428571428573,25.5,54.57692307692308,1.291,415.38032154800004,33.57142857142857,36.666666666666664,3.51413043478261
2004,38.666666666666664,37.333333333333336,415.38032154800004,25.599999999999998,16.821428571428573,42.875,5.26,558.396489496,36.833333333333336,33.57142857142857,3.5264705882352962
2005,46.5,60.166666666666664,558.396489496,20.2,25.599999999999998,38.666666666666664,3.062612,471.9703400909999,32.01086956521739,36.833333333333336,3.4666666666666663
2006,48.333333333333336,55.050000000000004,471.9703400909999,29.15416666666667,20.2,46.5,4.56023232,535.903365983,34.5,32.01086956521739,3.071038251366119
2007,65.71428571428571,73.8,535.903365983,17.944000000000003,29.15416666666667,48.333333333333336,3.5878505,555.647754243,32.16,34.5,3.3950276243093924
2008,69.0,76.55555555555556,555.647754243,15.887500000000003,17.944000000000003,65.71428571428571,0.738757,591.631903338,32.75,32.16,3.0983146067415737
2009,58.285714285714285,64.85714285714286,591.631903338,16.343478260869567,15.887500000000003,69.0,1.58610922,489.80945449599994,28.956521739130434,32.75,3.2211956521739125
2010,61.714285714285715,67.5,489.80945449599994,11.695652173913041,16.343478260869567,58.285714285714285,0.2241155,564.4885336280003,26.347826086956523,28.956521739130434,3.274863387978141
2011,72.23076923076923,75.76470588235294,564.4885336280003,12.188000000000002,11.695652173913041,61.714285714285715,0.07919499999999999,732.3459662370001,26.56,26.347826086956523,3.336956521739135
2012,64.0,80.76923076923077,732.3459662370001,13.52083333333333,12.188000000000002,72.23076923076923,0.210803,630.3895457469999,26.041666666666668,26.56,3.621428571428571
2013,60.22307692307693,89.25,630.3895457469999,14.13846153846154,13.52083333333333,64.0,0.53426122,500.99999929600006,22.992307692307694,26.041666666666668,3.567391304347825
2014,41.86363636363637,68.5,500.99999929600006,12.6,14.13846153846154,60.22307692307693,0.28333621,626.7322040829996,20.3,22.992307692307694,3.519889502762429
2015,52.833333333333336,58.0,626.7322040829996,14.924999999999997,12.6,41.86363636363637,0.2326815,686.8927072789998,24.25,20.3,3.7711956521739087
2016,52.0,71.0,686.8927072789998,9.590909090909092,14.924999999999997,52.833333333333336,0.1663808114,408.03595516199994,18.75,24.25,3.7559782608695653
2017,42.0,62.0,408.03595516199994,12.866666666666665,9.590909090909092,52.0,0.258331685,570.2212947520002,19.666666666666668,18.75,3.710326086956518
2018,36.333333333333336,71.0,570.2212947520002,10.741666666666667,12.866666666666665,42.0,0.614429375,312.8090027700001,18.666666666666668,19.666666666666668,3.968478260869565
