Date,colour,chl-a,TP,SS_min,SS,TOC,TDP
20/01/1964,78.5,,,,,,
24/02/1964,87,,,,,,
16/03/1964,55,,,,,,
21/04/1964,53.6,,,,,,
19/05/1964,57.66666667,,,,,,
24/06/1964,47.5,,,,,,
29/07/1964,47.25,,,,,,
26/08/1964,64.8,,,,,,
24/09/1964,40.2,,,,,,
19/10/1964,76,,,,,,
24/11/1964,78.6,,,,,,
25/01/1965,109.25,,,,,,
15/04/1980,72.5,,38.5,,,,
29/04/1980,81.4,3.971428571,52,,,,
13/05/1980,81.33333333,7.283333333,45,,,,
28/05/1980,,12.61428571,32.71428571,,,,
10/06/1980,83,15.3,41.6,,,,
24/06/1980,94.42857143,11.1,23.66666667,,,,
08/07/1980,104.8333333,13.15714286,35.85714286,,,,
22/07/1980,67.85714286,13.56,37.66666667,,,,
05/08/1980,88,26.47142857,32,,,,
19/08/1980,64,21.86666667,102.8,,,,
02/09/1980,161.7142857,27.1,32.71428571,,,,
16/09/1980,67.2,14.62857143,35.85714286,,,,
30/09/1980,58,13.8,33,,,,
14/10/1980,90.5,,70,,,,
23/06/1981,31,6.45,20.5,3.275,,,
28/07/1981,60.33333333,7.7,26.66666667,2.575,,,
01/09/1981,69,11.525,46.66666667,3,,,
29/09/1981,75.75,7.65,21.5,1.75,,,
24/03/1982,133.3333333,,51.75,,,,
20/04/1982,80,1.1,40.75,,,,
04/05/1982,,3.8,,,,,
18/05/1982,,3.4,35.33333333,,,,
01/06/1982,,9.2,41,,,,
29/06/1982,,,37,,,,
04/08/1982,,7.45,23.33333333,,,,
18/08/1982,,10.5,,,,,
29/08/1982,30,6,27,,,,
16/09/1982,27.5,6.225,11.25,,,,
28/09/1982,,4.3,,,,,
18/10/1982,22.5,2.9,14,,,,
14/04/1983,34,1.9,38,,,,
03/05/1983,34,2.6,33,,,,
25/05/1983,23,2.4,33,,,,
14/06/1983,20,6.7,25.4,,,,
05/07/1983,9,7.4,30,,,,
26/07/1983,11,10.8,38.4,,,,
16/08/1983,20,7.8,33.8,,,,
06/09/1983,11,5.4,25.25,,,,
27/09/1983,13,5.3,19.4,,,,
13/03/1984,28,,26.25,1.85,2.6,,14.825
03/05/1984,,12.6,25.65,3.8,5.433333333,,7.933333333
21/05/1984,,7.4,19.2,2.3,3.625,,6.85
06/06/1984,,5.425,27.9,3.55,5.225,,6.45
27/06/1984,,11.525,31.05,3.166666667,6.066666667,,5.5
18/07/1984,,14.2,33,3.525,5.933333333,,4.425
08/08/1984,,15.625,27,3.3,5.525,,5.066666667
29/08/1984,,20.975,33.75,3.275,6.125,,6.275
