"","obs_1","pred_1","obs_2","pred_2","obs_3","pred_3","obs_4","pred_4","obs_5","pred_5","obs_6","pred_6","obs_7","pred_7","obs_8","pred_8","obs_9","pred_9","obs_10","pred_10"
"1",33.5714285714286,30.6950255598872,34.5,35.0512331945039,31.2833333333333,29.8634814224682,27.1583333333333,29.3757365401771,32.16,29.0834376885287,32.6666666666667,31.3205721647394,22.9923076923077,26.9187655689518,30.4428571428571,29.6356142960876,38.3333333333333,31.1174342406444,27.1583333333333,29.5290285542925
"2",32.6666666666667,31.7613147816711,24.25,24.2124446248137,34.5,34.8430478444346,27.0571428571429,28.5229861737625,20.3,24.9174342965556,36.8333333333333,34.2751768878924,30.9571428585714,27.3735085741546,32.5166666666667,31.5815093875463,34.5,33.6985986800748,26.56,26.8533994234147
"3",32.75,30.0085808618758,22.9923076923077,27.1691098866002,33.78888889,29.4010229439679,30.9571428585714,26.5326647911771,30.9571428585714,26.8670299747158,29.78125,25.1509777689912,32.0108695652174,32.6129325626253,29.5333333333333,25.9859919500413,29.45,31.5663346085697,29.45,31.1920182672238
"4",26.3478260869565,26.9111025720323,36.6666666666667,35.6052623224011,28.833333335,35.0192175471759,28.9,26.3669192955591,27.225,26.9577915086875,29.45,31.6589572153213,20.3,24.9594054930488,30.9571428585714,26.718850411689,26.56,26.6900978333167,32.6666666666667,31.9523313346604
"5",30.4428571428571,29.1441084109187,26.3478260869565,27.1552998518657,28.9,26.5299165501869,24.25,24.4844276680405,32.0108695652174,32.7107542644146,28.833333335,36.0667468350533,28.9565217391304,30.8567538615291,26.0416666666667,27.273763278013,32.16,29.5200123634548,29.4166666666667,32.0651219324646
"6",32.3666666666667,29.6017910521662,36.8333333333333,34.376640698137,33.5714285714286,30.8529499693023,29.78125,25.0801395641594,29.4166666666667,31.9401268303557,30.9571428585714,26.6310794366615,32.75,29.9983001129643,29.4166666666667,31.8890166479336,32.0108695652174,32.3488149504065,23.4333333333333,29.4967990252776
"7",18.75,24.4634200974774,28.9,26.5418643658518,32.5166666666667,31.7323825474117,27.225,26.6501380189607,33.5714285714286,30.4433715014663,26.9880952371429,25.6000164599896,32.6666666666667,31.8878026332248,33.78888889,28.8598056067645,26.3478260869565,27.2642927824118,24.25,24.7106550008611
"8",24.25,24.946788861011,26.9880952371429,25.6744143985098,27.3,28.4231240568248,26.0416666666667,27.4703364668175,19.6666666666667,24.5100900817639,29.4166666666667,32.0195358377264,32.5166666666667,31.2679245856475,29.45,31.5119445786352,27.1583333333333,29.2132600470928,26.0416666666667,27.1015506149629
"9",27.225,26.7009529433141,29.78125,25.4083321430484,19.6666666666667,24.3466538106972,27.3,28.6438021447529,23.4333333333333,29.4910154197299,31.3428571428571,29.1546756977289,23.4333333333333,29.5207936248579,26.9880952371429,26.2201537035713,32.5166666666667,31.6593371120276,30.4428571428571,29.7006759981194
"10",36.8333333333333,34.1428956853301,33.5714285714286,30.6415340527965,22.9923076923077,27.5053135348049,30.4428571428571,29.6140951779373,26.56,26.8732354214653,28.9565217391304,30.9671968534684,26.0416666666667,27.317956520784,28.833333335,35.8725645080702,29.78125,25.2486581063314,19.6666666666667,24.1365826268994
