"","obs_1","pred_1","obs_2","pred_2","obs_3","pred_3","obs_4","pred_4","obs_5","pred_5","obs_6","pred_6","obs_7","pred_7","obs_8","pred_8","obs_9","pred_9","obs_10","pred_10"
"1",9.425,13.8608019344446,16.8214285714286,23.1269975971454,16.7571428571429,11.9814322810487,14.0555555566667,9.9988135565354,9.425,14.3351897950182,9.425,13.9101437214791,13.5208333333333,13.211739514643,29.1541666666667,17.6644659438383,6.05,11.2756559821925,21.3,17.8884575454145
"2",11.8952380947143,13.3803263174484,14.925,11.4211027692674,5.975,11.7581748180377,11.6111111111111,10.3859495261211,6.05,11.2363801982642,12.188,13.0483514715798,12.6,12.6985708694099,14.925,11.117901830677,9.59090909090909,13.8672268165117,29.1541666666667,17.8835369105958
"3",8.51111111116667,15.4126238208941,29.1541666666667,17.8835044039904,16.3434782608696,16.7906612365184,12.8666666666667,9.45320683018976,14.1384615384615,13.4722459655498,20.2,22.9296002417812,29.1541666666667,17.6039604892562,23.0666666666667,18.3985407611553,20.2,22.4951482728435,23.0666666666667,18.0237514555048
"4",10.7416666666667,11.7886792761205,21.3,17.97200396593,22.1666666666667,19.0984525725178,25.6,16.9530089455463,10.7416666666667,11.4599621169327,12.6142857142857,16.8551181210136,25.6,16.6382694146413,16.7571428571429,11.5255873007396,21.8833333333333,17.255883333795,25.6,16.5605715288093
"5",14.1384615384615,13.2583271121634,16.7571428571429,11.4995660695934,12.8666666666667,9.09611031730377,25.5,20.3005429069037,16.3434782608696,16.7134766459763,15.8875,17.6011005925,9.425,13.9072081774041,16.3434782608696,16.8556244306945,15.8875,17.6505015825144,16.7571428571429,11.1497646469532
"6",15.8875,17.1166016862368,25.5,20.216877497274,18.2571428571429,13.2089219406941,13.5208333333333,12.9121022673257,21.0333333333333,19.389873477523,11.8952380947143,13.2837503747175,11.6111111111111,11.2882194520928,12.2428571428571,13.8892804950817,12.6142857142857,16.7911117880575,17.944,25.2395202187067
"7",29.1541666666667,17.9203010744676,12.8666666666667,9.07457443515032,12.188,12.8065109098222,21.1,18.477829714852,11.6111111111111,10.6349722676162,12.6777777766667,14.6244104216305,10.7416666666667,11.3174891627361,12.6777777766667,14.5141528629957,8.33125,21.3167022933105,12.6,13.0595371879225
"8",6.05,10.5570440157521,18.2571428571429,12.9475292530099,9.425,13.9750549042614,14.925,11.1119567091546,12.8666666666667,8.99879877612263,12.2428571428571,14.2989802999661,15.8875,17.4339714738913,21.6333333333333,18.7525718959637,21.0333333333333,19.9538025584715,16.3434782608696,16.7178988252648
"9",16.8214285714286,24.4527903898298,5.975,12.116615842641,21.6333333333333,18.6626227193569,16.8214285714286,23.2684086150812,20.2,22.8196496348822,9.59090909090909,13.9530814692349,12.8666666666667,9.32596848074247,21.0333333333333,20.2740175317328,12.6777777766667,14.3027690980442,11.6111111111111,10.3149176152675
"10",17.944,25.8939899104233,10.7416666666667,11.7929476028822,15.8875,17.4610130981436,9.425,14.1168335317835,12.2428571428571,14.179298434148,22.1666666666667,19.2148174361198,21.6333333333333,18.8263062588419,16.8214285714286,23.3206327833348,14.2714285714286,14.8343549075882,18.2571428571429,13.2765193265719
"11",14.925,10.6949673193528,21.0333333333333,19.4794925933482,11.695652173913,15.865878507918,23.0666666666667,18.2526778805511,18.2571428571429,13.363634843079,5.975,12.4284386695584,12.188,12.8868174108425,21.1,18.7311536318992,14.0555555566667,9.98158314499907,20.2,22.7626233025999
"12",14.2714285714286,14.6126542209784,13.5208333333333,12.7281010956716,20.2,22.6808210477946,14.1384615384615,13.6994676305209,23.0666666666667,18.5212298431602,23.0666666666667,18.5675610513085,21.0333333333333,19.8284251513515,12.6,12.7714568698738,25.5,20.2691897194107,12.2428571428571,14.3341903650163
