year,cyano,chla,colour_summer,rain_prevSummer,colour_prevSummer,colour_winter,rain
1996,1.6983368811009338,21.3,17.666666666666668,427.3085932229999,25.833333333333332,38.11,449.609512642
1997,1.0923843858945121,23.066666666666666,19.0,449.609512642,17.666666666666668,39.19,420.42937626300005
1998,0.8590913034630471,21.099999999999998,34.71153846153846,420.42937626300005,19.0,51.916346153846156,519.2802700179999
1999,1.954313087724298,21.633333333333333,50.42307692307692,519.2802700179999,34.71153846153846,65.11764705882354,630.476421443
2000,1.6662609926961491,22.166666666666668,42.56,630.476421443,50.42307692307692,63.80769230769231,617.6580098779999
2001,-0.5301565543605243,21.03333333333333,68.70370370370371,617.6580098779999,42.56,87.04,511.777686395
2002,-0.01814748411974865,25.5,54.57692307692308,511.777686395,68.70370370370371,67.26923076923077,549.788892476
2003,0.2587069566190108,16.821428571428573,42.875,549.788892476,54.57692307692308,50.083333333333336,415.38032154800004
2004,1.8058857049023747,25.599999999999998,38.666666666666664,415.38032154800004,42.875,37.333333333333336,558.396489496
2005,1.1843100489983485,20.2,46.5,558.396489496,38.666666666666664,60.166666666666664,471.9703400909999
2006,1.6385451799737973,29.15416666666667,48.333333333333336,471.9703400909999,46.5,55.050000000000004,535.903365983
2007,1.3627495363822384,17.944000000000003,65.71428571428571,535.903365983,48.333333333333336,73.8,555.647754243
2008,-0.2982481770236528,15.887500000000003,69.0,555.647754243,65.71428571428571,76.55555555555556,591.631903338
2009,0.4720886246758042,16.343478260869567,58.285714285714285,591.631903338,69.0,64.85714285714286,489.80945449599994
2010,-1.3891268926690754,11.695652173913041,61.714285714285715,489.80945449599994,58.285714285714285,67.5,564.4885336280003
2011,-2.2398560704366117,12.188000000000002,72.23076923076923,564.4885336280003,61.714285714285715,75.76470588235294,732.3459662370001
2012,-1.4416965971957796,13.52083333333333,64.0,732.3459662370001,72.23076923076923,80.76923076923077,630.3895457469999
2013,-0.607626270342323,14.13846153846154,60.22307692307693,630.3895457469999,64.0,89.25,500.99999929600006
2014,-1.1848398245595448,12.6,41.86363636363637,500.99999929600006,60.22307692307693,68.5,626.7322040829996
2015,-1.3567676999205336,14.924999999999997,52.833333333333336,626.7322040829996,41.86363636363637,58.0,686.8927072789998
2016,-1.6418468663860464,9.590909090909092,52.0,686.8927072789998,52.833333333333336,71.0,408.03595516199994
2017,-1.2659078904495529,12.866666666666665,42.0,408.03595516199994,52.0,62.0,570.2212947520002
2018,-0.4753901051562929,10.741666666666667,36.333333333333336,570.2212947520002,42.0,71.0,312.8090027700001
