"par","terc","roc","sig"
"psl","lower",-0.0493827160493827,FALSE
"psl","middle",-0.179012345679012,FALSE
"psl","upper",0.17283950617284,FALSE
"tcc","lower",0.0432098765432098,FALSE
"tcc","middle",0.481481481481481,TRUE
"tcc","upper",-0.00617283950617287,FALSE
"uas","lower",-0.425925925925926,FALSE
"uas","middle",-0.222222222222222,FALSE
"uas","upper",-0.376543209876543,FALSE
"vas","lower",-0.0555555555555556,FALSE
"vas","middle",-0.191358024691358,FALSE
"vas","upper",-0.246913580246914,FALSE
"tas","lower",-0.166666666666667,FALSE
"tas","middle",-0.104938271604938,FALSE
"tas","upper",0.228395061728395,FALSE
"tdps","lower",-0.0617283950617284,FALSE
"tdps","middle",-0.0432098765432098,FALSE
"tdps","upper",0.117283950617284,FALSE
"rsds","lower",0.265432098765432,FALSE
"rsds","middle",0.0802469135802468,FALSE
"rsds","upper",0.111111111111111,FALSE
"rlds","lower",0.111111111111111,FALSE
"rlds","middle",0.320987654320988,FALSE
"rlds","upper",0.0123456790123457,FALSE
"tp","lower",-0.166666666666667,FALSE
"tp","middle",-0.166666666666667,FALSE
"tp","upper",-0.376543209876543,FALSE
