"par","terc","roc","sig"
"psl","lower",0.0864197530864197,FALSE
"psl","middle",0.314814814814815,FALSE
"psl","upper",0.617283950617284,TRUE
"tcc","lower",0.0679012345679013,FALSE
"tcc","middle",0.333333333333333,FALSE
"tcc","upper",0.0802469135802468,FALSE
"uas","lower",0.166666666666667,FALSE
"uas","middle",0.0617283950617284,FALSE
"uas","upper",0.401234567901235,FALSE
"vas","lower",0.314814814814815,FALSE
"vas","middle",-0.00617283950617287,FALSE
"vas","upper",-0.0493827160493827,FALSE
"tas","lower",0.246913580246914,FALSE
"tas","middle",-0.154320987654321,FALSE
"tas","upper",0.475308641975309,TRUE
"tdps","lower",0.240740740740741,FALSE
"tdps","middle",0.0246913580246915,FALSE
"tdps","upper",0.216049382716049,FALSE
"rsds","lower",0.0617283950617284,FALSE
"rsds","middle",0.154320987654321,FALSE
"rsds","upper",0.481481481481481,TRUE
"rlds","lower",0.0925925925925926,FALSE
"rlds","middle",0.271604938271605,FALSE
"rlds","upper",0.518518518518519,TRUE
"tp","lower",0.17283950617284,FALSE
"tp","middle",-0.148148148148148,FALSE
"tp","upper",0.0246913580246915,FALSE
