"par","terc","roc","sig"
"psl","lower",-0.0808823529411765,FALSE
"psl","middle",-0.0763888888888888,FALSE
"psl","upper",-0.0441176470588235,FALSE
"tcc","lower",0.507352941176471,TRUE
"tcc","middle",-0.347222222222222,FALSE
"tcc","upper",0.5,TRUE
"uas","lower",0.213235294117647,FALSE
"uas","middle",0.326388888888889,FALSE
"uas","upper",-0.169117647058823,FALSE
"vas","lower",0.323529411764706,FALSE
"vas","middle",0.131944444444444,FALSE
"vas","upper",-0.205882352941177,FALSE
"tas","lower",0.323529411764706,FALSE
"tas","middle",0.375,FALSE
"tas","upper",-0.0735294117647058,FALSE
"tdps","lower",0.183823529411765,FALSE
"tdps","middle",0.236111111111111,FALSE
"tdps","upper",-0.0882352941176471,FALSE
"rsds","lower",0.25,FALSE
"rsds","middle",0.215277777777778,FALSE
"rsds","upper",0.558823529411765,TRUE
"rlds","lower",0.242647058823529,FALSE
"rlds","middle",0.284722222222222,FALSE
"rlds","upper",0.573529411764706,TRUE
"tp","lower",0.0220588235294117,FALSE
"tp","middle",0.361111111111111,FALSE
"tp","upper",-0.110294117647059,FALSE
