"par","terc","roc","sig"
"psl","lower",0.0679012345679013,FALSE
"psl","middle",0.141975308641975,FALSE
"psl","upper",0.00617283950617287,FALSE
"tcc","lower",-0.166666666666667,FALSE
"tcc","middle",-0.265432098765432,FALSE
"tcc","upper",-0.320987654320988,FALSE
"uas","lower",-0.290123456790123,FALSE
"uas","middle",-0.179012345679012,FALSE
"uas","upper",-0.148148148148148,FALSE
"vas","lower",-0.191358024691358,FALSE
"vas","middle",0.364197530864198,FALSE
"vas","upper",-0.234567901234568,FALSE
"tas","lower",-0.0740740740740741,FALSE
"tas","middle",0.5,TRUE
"tas","upper",-0.185185185185185,FALSE
"tdps","lower",0.0246913580246915,FALSE
"tdps","middle",0.395061728395062,FALSE
"tdps","upper",0.00617283950617287,FALSE
"rsds","lower",0,FALSE
"rsds","middle",-0.0864197530864198,FALSE
"rsds","upper",0.0555555555555556,FALSE
"rlds","lower",-0.351851851851852,FALSE
"rlds","middle",-0.0308641975308642,FALSE
"rlds","upper",-0.154320987654321,FALSE
"tp","lower",0,FALSE
"tp","middle",-0.0123456790123457,FALSE
"tp","upper",-0.524691358024691,FALSE
