,uas,vas,ps,tas,pr,rsds,rlds,hurs,cc
1979-01-02,0.6069166996511406,-3.772057711909987,1009.7423241330047,-16.79396454282211,0.0,23.337069221449962,200.26950851322195,67.59819926410186,3.362886898072863e-05
1979-01-03,0.2074148935604112,-3.7495626485897966,1008.0794140902042,-9.39403688424596,0.0,14.79426910492603,226.3099725789551,76.29215709649938,3.362886898072863e-05
1979-01-04,-0.2337901476950239,-3.9767617395686794,1009.8679666264867,-9.50446610143177,0.0,17.924816413323715,219.47534775841692,82.67595981945156,3.362886898072863e-05
1979-01-05,-0.5745697444807003,-3.585152987287091,1012.2896649712692,-14.41216391626591,0.0,18.548546620906777,207.89837391723236,80.8082169875282,3.362886898072863e-05
1979-01-06,-0.5379594803071684,-1.9065816054920373,1015.7686694576701,-14.857530043502761,0.0,13.420765575132604,215.69301487989978,81.98090152764836,3.362886898072863e-05
1979-01-07,1.0174319896462767,3.6571898851164306,1009.7705426484758,-4.6371675520650175,1.7817155640986009,7.390342010132344,252.52534437203232,88.86405895248312,3.362886898072863e-05
1979-01-08,5.345843712695449,5.398215398703924,993.8055977969502,2.887879062306159,3.0889708132771854,6.657923500701287,283.3455810372445,85.62258021720145,3.362886898072863e-05
1979-01-09,5.071349603141403,2.1729854589485558,992.4940277014083,0.5780810930644786,0.0,13.55258276812166,243.66606729063653,75.4669163372914,3.362886898072863e-05
1979-01-10,3.1731143666518817,1.7446929374851732,990.8869821703212,-2.5748658518539123,0.0,18.204700583118036,239.44347413708917,88.62480975475458,3.362886898072863e-05
1979-01-11,-0.0031210658373710377,1.6590351191158872,985.4829501223459,-3.4525714946023256,0.0,12.915647953968339,246.12278308911155,90.12164657904714,3.362886898072863e-05
1979-01-12,-4.893077011662071,0.17815870882380888,981.3593679984459,-1.8805893340112716,5.917291705625728,6.758363079357162,266.63155612177746,86.68931210104053,3.362886898072863e-05
1979-01-13,-3.829727499429777,-4.138068948255037,989.374449703932,-2.1802449181078054,6.684105620643058,5.079598149186258,267.87058219602653,83.52351506499818,3.362886898072863e-05
1979-01-14,-1.2615270699750818,-5.033220715685738,994.3361569004663,-4.254828536094095,4.472773499129431,6.757265675361343,263.54790696433054,78.7904291062745,3.362886898072863e-05
1979-01-15,0.08398864260622213,-2.4003611908237676,1010.7989143237712,-5.7396333340826295,0.0,12.525509025951127,250.2808190716526,85.7958675839054,3.362886898072863e-05
1979-01-16,0.1542258684695604,-2.2041330045382677,1022.292684199088,-10.137390403963153,0.0,22.31792289785371,231.6263908480398,86.05874936043894,3.362886898072863e-05
1979-01-17,-0.2067460120962794,1.6072059922118476,1023.9453839524886,-6.54133828595674,0.0,14.18268965215145,239.86055462637952,90.10603609140645,3.362886898072863e-05
1979-01-18,-1.4832320365895606,-0.5806102018025011,1024.3179017827251,-4.323354586219011,0.0,11.635417564234803,259.54380920076045,90.94149942564282,3.362886898072863e-05
1979-01-19,-1.3800936069694476,-1.9706851892356014,1028.7008627889459,-4.111684646582344,0.0,16.90518161426069,243.21834491289434,87.85260086455774,3.362886898072863e-05
1979-01-20,-2.4820087195805094,-1.2773822381182776,1030.4908893212869,-2.382216169459413,0.0,13.441753652251267,259.5569838681651,86.19165222038654,3.362886898072863e-05
1979-01-21,-1.6589297018944487,-1.1149525219114973,1026.550487251339,-4.669544961727262,0.0,16.284075875371677,257.5704529986607,87.81200284476098,3.362886898072863e-05
1979-01-22,-2.1949864206923335,-1.0283235344408976,1028.8884219086597,-4.864371744471559,0.0,13.477380296810077,251.64767819039488,87.1949901861373,3.362886898072863e-05
1979-01-23,-0.32524079182524296,-1.2047333959370867,1018.7749378405966,-6.06175829873827,0.0,14.791750800568053,253.04325626409155,87.32237628441106,3.362886898072863e-05
1979-01-24,-0.29440160079247063,0.35061889081068154,1007.3957054716884,-6.655164463042822,0.0,14.199136124942427,246.77034418468955,87.24065759481093,3.362886898072863e-05
1979-01-25,-2.184768657022589,-2.587267599635453,994.9828476525449,-6.4750511869931975,1.0357311944098422,9.794320977871378,257.36215589756017,86.99499777028254,3.362886898072863e-05
1979-01-26,-2.8522701204808008,-1.7703568124504332,988.9076779845063,-9.663527698824684,0.0,16.867576278301513,250.63039839806885,83.11291024899242,3.362886898072863e-05
1979-01-27,-1.386216600837835,-3.577344767248961,985.0304828724583,-15.281621209390853,1.300716664300537,21.44641076312734,232.9237436940416,79.05973443599781,3.362886898072863e-05
1979-01-28,0.48289241103070424,-1.6533619707977463,984.1881345454877,-14.822065492766288,0.0,32.66960023170328,224.56717446214228,77.38361584696527,3.362886898072863e-05
1979-01-29,0.001786478291431232,1.065245774699105,990.6635049341058,-8.733580860129315,0.0,21.045704735437162,236.4787481906838,87.14207571239784,3.362886898072863e-05
1979-01-30,-0.9017721184009687,1.326717719075188,998.8050323790958,-7.148819154215976,0.0,15.417139026897775,245.18353488222115,87.35986971281383,3.362886898072863e-05
1979-01-31,-1.6500401702655831,-2.6137814416798593,1000.6030802888084,-8.976622361535467,0.0,20.998809061893965,244.89436061913545,83.47476575094923,3.362886898072863e-05
1979-02-01,0.1051047204552376,-3.193224706409421,995.1705259966631,-8.642818512349745,0.0,24.912921104348683,237.04608152078774,73.93840484696199,3.362886898072863e-05
1979-02-02,-0.5662416294301308,1.0460315443496857,982.8381892264293,-7.768746048852343,1.1626412601559666,17.274973522360057,243.67450915537742,84.55852553698469,0.0014529676934746895
