,RR,TG,TN,TX
1970-12-31,0.0,-11.605701711758627,-16.025238020352674,-8.91533526810781
1971-01-01,0.0,-13.689100030629447,-16.77513709642386,-10.755445730515532
1971-01-02,0.023858664534815915,-12.013109493967988,-14.72482091834155,-0.6611459425170096
1971-01-03,0.00035273699061204674,-3.9446531462849066,-2.9402443581968782,2.0292830967101168
1971-01-04,0.0,-4.277468906132128,-13.886817616857286,-1.8411394424409764
1971-01-05,0.0,-13.104941182562072,-19.841875154652143,-12.806168228969682
1971-01-06,0.07332298847974401,-11.509419942618706,-14.616996997237493,1.734893555046142
1971-01-07,6.348737694769495,0.0079610452974066,1.5989180128613611,5.759757198900331
1971-01-08,0.34101505960765116,3.7333822596404502,2.3692345008088864,4.3412513766784855
1971-01-09,0.7610510037138462,3.7392058315138,3.4841816697648937,4.9255359111941175
1971-01-10,0.023790810772656438,3.743313943497185,1.2992070848585513,4.134448943991572
1971-01-11,0.04174482331890569,0.9828438568104616,-2.8803924297195636,1.781425183679687
1971-01-12,0.11317268815761466,-2.8664448789903076,-5.698133872298115,-1.7392152710664277
1971-01-13,0.04741047016717953,-4.526805422022335,-6.607351045198527,-3.7972977819500215
1971-01-14,0.34123640357579643,-5.108490018412169,-6.3471095685895875,-1.7894271891766493
1971-01-15,0.06453178661356969,-3.6702111775316553,-7.1755253892554265,-2.734574653441655
1971-01-16,0.05620412709729778,-6.772593163141551,-10.302680433305568,0.8212343881513675
1971-01-17,2.323492308321452,-2.1364385914426407,0.448074800422944,2.7875198923618427
1971-01-18,0.31194326465433697,1.3649560903294855,-0.37506239199313995,2.4363095779330024
1971-01-19,9.89407356166001,1.255721852259171,0.23831679359881264,3.1295842525819353
1971-01-20,4.579055464350018,1.9293114969943304,0.7798138724049295,2.4086324202475
1971-01-21,0.4937772961957335,1.2279822358710817,0.18256226086396055,1.4679866582137038
1971-01-22,5.954430142121227,0.5501436729927036,-0.04644345522143567,0.6925816857324207
1971-01-23,6.532522127097068,0.6209092913307472,0.2194780660734068,3.7610921516648546
1971-01-24,6.839630644172329,2.107888730139223,1.9001316180945764,4.856562128732605
1971-01-25,8.290551220805375,3.329895002693263,1.8612565734802615,3.807452990135289
1971-01-26,4.152460613564713,2.056091027007824,-0.18985842017548293,2.8917781954829707
1971-01-27,0.03267004339184136,-0.1359583906100852,-3.45775226854704,0.04197388243659361
1971-01-28,0.0,-4.265070697617375,-8.406846828423227,-3.1183496020879033
1971-01-29,0.0,-7.438285194027912,-10.81478499437651,-5.357984343581222
1971-01-30,2.2409025509449907,-8.225087822040507,-8.646029563763818,-5.7021038429084
1971-01-31,6.853313203872843,-6.762366261313673,-9.962020707569934,-2.6030484129292404
1971-02-01,0.0,-8.988269512178022,-16.20473661448193,0.8922321733373337
1971-02-02,0.023705235083589765,-4.788866158639792,-3.438301332561764,2.9236935579332908
1971-02-03,0.0,-0.12887679075907954,-2.4455169281350777,9.222840409619835
1971-02-04,0.0,1.7921793775602737,-3.9991884292329587,6.2474882394667475
1971-02-05,0.0,1.0884448921660805,-2.0214714370297884,5.688023421766388
1971-02-06,0.0009924158867588428,1.1252765760316379,-2.555887552803256,4.951515962531232
1971-02-07,0.0,1.614463393949677,-1.6146310331479867,5.496848811228517
1971-02-08,0.07184276241778335,-0.10758846195051319,-3.9360682409289893,2.124687952337183
1971-02-09,0.0,-3.6531627816655146,-8.172302253143926,-1.3307445226946015
1971-02-10,0.023705235083589765,-2.21868837127829,-1.7664976989323122,3.112198974366777
1971-02-11,0.09034383645161334,1.6201923777819047,1.1463917790420055,2.834648902721483
1971-02-12,7.783490186545777,2.8851616581698067,2.43685775105331,4.400233949806818
1971-02-13,2.910154326558675,2.6863428888013914,0.3556126932616621,4.143689852987791
1971-02-14,0.00030685890245229765,1.3641325769177115,-0.7349704154399888,1.983914885091508
1971-02-15,0.4018977383828386,1.3094841430456654,1.2890606020127393,2.9764303034835393
1971-02-16,0.5084365451914966,1.833498222709352,0.1120207996082172,2.927240342607604
1971-02-17,13.11061948331513,0.6826089919111951,0.04590500456464497,0.841491478579826
1971-02-18,3.9402297448502415,-0.09036555921841227,-1.0780777804761215,0.29611148821635425
1971-02-19,0.023705235083589765,-1.6422794749964282,-4.209718821832098,-0.4886977228420619
1971-02-20,1.2275550006458908,-1.3946469297704311,-1.2361182882384583,0.6592829152788795
1971-02-21,6.946724822716228,-0.12168852104741745,-0.8706813403707656,1.0387840441067624
1971-02-22,0.1721323698245375,-1.9970526062760996,-5.853202817214026,1.1959580396120941
1971-02-23,1.9620420956311369,-2.2440300368770636,-3.0950621668079634,6.253749680813428
1971-02-24,0.0,0.6651724230293894,-6.2817518279334195,3.922485042547521
1971-02-25,0.0,-5.399952313642984,-8.843941582156845,-4.276878403971125
1971-02-26,0.0,-7.222391786930075,-10.16358747068881,-5.916260218078605
1971-02-27,0.009722159147710276,-9.21033986982087,-11.026752029235126,-5.957201111772406
1971-02-28,0.016170951334850713,-9.060175497761918,-11.470347380816406,-7.838282642995239
1971-03-01,0.6388182573808591,-9.84790800918313,-10.527290783703847,-7.608804155522591
1971-03-02,0.9890219312862046,-10.352758972383015,-13.670559762590528,-8.407552296447818
1971-03-03,0.0,-12.783868694749913,-17.21968547760241,-8.609232046553473
1971-03-04,0.0,-14.349551806718466,-19.444842906879785,-3.5248179761333063
1971-03-05,0.0,-10.407494275365593,-14.46367726813503,-1.8808139974865412
1971-03-06,0.0,-7.218054083621894,-5.602482742297013,3.0538816606641603
1971-03-07,0.0,-2.494621139954745,-6.433372298243228,5.870747951844805
