Date,colour,chl-a,TP,SS_min,SS,TOC,TDP
1964-01-20,78.5,,,,,,
1964-02-24,87.0,,,,,,
1964-03-16,55.0,,,,,,
1964-04-21,53.6,,,,,,
1964-05-19,57.666666666666664,,,,,,
1964-06-24,47.5,,,,,,
1964-07-29,47.25,,,,,,
1964-08-26,64.8,,,,,,
1964-09-24,40.2,,,,,,
1964-10-19,76.0,,,,,,
1964-11-24,78.6,,,,,,
1965-01-25,109.25,,,,,,
1980-04-15,72.5,,38.5,,,,
1980-04-29,81.4,3.971428571428571,52.0,,,,
1980-05-13,81.33333333333333,7.283333333333334,45.0,,,,
1980-05-28,,12.614285714285716,32.714285714285715,,,,
1980-06-10,83.0,15.299999999999999,41.6,,,,
1980-06-24,94.42857142857143,11.1,23.666666666666668,,,,
1980-07-08,104.83333333333333,13.157142857142858,35.857142857142854,,,,
1980-07-22,67.85714285714286,13.559999999999999,37.666666666666664,,,,
1980-08-05,88.0,26.471428571428568,32.0,,,,
1980-08-19,64.0,21.866666666666664,102.8,,,,
1980-09-02,161.71428571428572,27.1,32.714285714285715,,,,
1980-09-16,67.2,14.628571428571428,35.857142857142854,,,,
1980-09-30,58.0,13.799999999999999,33.0,,,,
1980-10-14,90.5,,70.0,,,,
1981-06-23,31.0,6.45,20.5,3.275,,,
1981-07-28,60.333333333333336,7.7,26.666666666666668,2.5749999999999997,,,
1981-09-01,69.0,11.524999999999999,46.666666666666664,3.0,,,
1981-09-29,75.75,7.65,21.5,1.75,,,
1982-03-24,133.33333333333334,,51.75,,,,
1982-04-20,80.0,1.1,40.75,,,,
1982-05-04,,3.8,,,,,
1982-05-18,,3.4,35.333333333333336,,,,
1982-06-01,,9.2,41.0,,,,
1982-06-29,,,37.0,,,,
1982-08-04,,7.449999999999999,23.333333333333332,,,,
1982-08-18,,10.5,,,,,
1982-08-29,30.0,6.0,27.0,,,,
1982-09-16,27.5,6.225,11.25,,,,
1982-09-28,,4.3,,,,,
1982-10-18,22.5,2.9000000000000004,14.0,,,,
1983-04-14,34.0,1.9,38.0,,,,
1983-05-03,34.0,2.6,33.0,,,,
1983-05-25,23.0,2.4,33.0,,,,
1983-06-14,20.0,6.7,25.400000000000002,,,,
1983-07-05,9.0,7.4,30.0,,,,
