year,chla_prevSummer,colour_prevSummer,cyano_prevSummer,rainy_days_winter,TP_prevSummer,chla_ES,colour_ES,cyano_ES,rain_ES,TP_ES,chla_LS,colour_LS,cyano_LS,temp_LS,TP_LS,windDays_under_Q0.4_LS,windDays_over_Q0.6_LS
1980,,,,,,12.169126984126985,,,242.199218085,36.084126984126975,20.773333333333333,,,9.575228774456523,51.06190476190477,38.0,33.0
1981,16.471230158730158,,,102.0,43.57301587301588,7.075,,,282.257779432,23.583333333333336,9.5875,,,9.937925681228256,34.08333333333333,41.0,29.0
1982,8.33125,,,105.0,28.83333333333333,5.466666666666666,,,151.00623331399999,37.77777777777778,6.229166666666665,26.66666666666667,,10.870945072184782,18.89583333333333,28.0,47.0
1983,5.8479166666666655,26.66666666666667,,121.0,28.336805555555557,5.98,19.4,,182.72881749700005,31.96,6.166666666666668,14.666666666666664,,10.877161553793485,26.149999999999995,25.0,51.0
1984,6.073333333333334,17.03333333333333,,121.0,29.055,10.23,,,255.82062942299987,27.36000000000001,11.95,,,10.635043035782614,25.695,35.0,31.0
1985,11.09,,,138.0,26.527500000000003,9.97777777777778,34.111111111111114,,236.49391209300012,36.6,13.333333333333332,34.625,,9.159237285695651,26.725,39.0,40.0
1986,11.655555555555555,34.36805555555556,,123.0,31.6625,10.911111111111113,31.44444444444445,,163.43724397199998,33.333333333333336,14.444444444444445,23.5,,8.234217844891301,34.244444444444454,36.0,35.0
1987,12.677777777777774,27.472222222222214,,114.0,33.78888888888889,6.266666666666668,27.88888888888889,,251.69644928500009,24.46666666666667,10.755555555555556,30.16666666666667,,9.05069452652174,22.399999999999995,35.0,38.0
1988,8.511111111111111,29.027777777777786,,150.0,23.43333333333333,12.855555555555556,27.777777777777768,,300.12176570600013,31.2,15.255555555555556,36.77777777777778,,9.694650756086952,27.866666666666664,38.0,34.0
1989,14.055555555555555,32.27777777777778,,134.0,29.53333333333333,9.05,24.75,,184.13527493900003,27.6,21.233333333333334,22.66666666666667,,9.659623756141304,26.33333333333333,43.0,36.0
1990,15.141666666666667,23.708333333333336,,129.0,26.966666666666665,9.65,21.75,,170.0517146360001,28.9,15.7,17.333333333333332,,9.739488104260873,28.899999999999995,33.0,39.0
1991,12.675,19.541666666666664,,137.0,28.9,8.575,21.75,,182.15018411200003,25.975,10.275,19.5,,10.486401117184784,28.475,41.0,34.0
1992,9.425,20.625,,141.0,27.225,13.7,25.25,,132.57916957199998,32.45,20.83333333333333,16.0,,8.533317835750005,29.86666666666667,37.0,35.0
1993,17.266666666666666,20.625,,119.0,31.15833333333334,9.35,23.0,,217.242695291,25.075,16.966666666666665,26.33333333333333,,7.744684654260866,30.266666666666666,44.0,33.0
1994,13.158333333333333,24.666666666666664,,143.0,27.67083333333333,11.65,31.25,,61.717935272000005,28.675,27.066666666666666,23.0,,9.625215525771742,32.800000000000004,39.0,31.0
1995,19.358333333333334,27.125,,165.0,30.737500000000004,20.566666666666666,28.33333333333333,,210.534631109,26.1,23.20000000000001,23.33333333333333,,11.812380124521734,32.800000000000004,34.0,40.0
1996,21.88333333333333,25.83333333333333,,148.0,29.45000000000001,23.93333333333333,20.33333333333333,2.123333333333333,172.1298755860001,30.8,18.666666666666668,15.0,4.233333333333333,10.988608220793477,31.76666666666667,45.0,33.0
1997,21.3,17.666666666666664,3.1783333333333337,159.0,31.28333333333333,21.033333333333328,20.666666666666668,1.3166666666666669,180.95761478200004,29.6,25.1,17.333333333333332,2.0866666666666664,11.473125776152177,29.23333333333333,43.0,28.0
1998,23.066666666666666,19.0,1.7016666666666669,147.0,29.416666666666664,18.766666666666666,,0.8933333333333332,210.34744419000003,26.7,23.43333333333333,,1.68,9.789670545304347,38.03333333333335,37.0,32.0
1999,21.1,,1.2866666666666666,158.0,32.36666666666667,,51.69230769230769,0.77,291.151700398,,,49.153846153846146,3.3833333333333333,11.182752403336956,,44.0,26.0
2000,,50.42307692307693,2.0766666666666667,144.0,,17.099999999999998,49.153846153846146,0.19666666666666666,248.36199442299994,34.666666666666664,27.23333333333333,35.416666666666664,1.7787499999999998,10.939770848141308,30.66666666666667,37.0,33.0
